time,text
6/17/2018 15:00,First Half begins. 
6/17/2018 15:00,Lineups are announced and players are warming up.
6/17/2018 15:01,Attempt blocked. Hirving Lozano (México) right footed shot from the left side of the box is blocked. Assisted by Carlos Vela.
6/17/2018 15:01,"Corner, México. Conceded by Jérôme Boateng."
6/17/2018 15:02,Attempt missed. Chicharito (México) header from the centre of the box misses to the right. Assisted by Miguel Layún with a cross following a corner.
6/17/2018 15:02,Foul by Carlos Vela (México).
6/17/2018 15:02,Joshua Kimmich (Germany) wins a free kick in the defensive half.
6/17/2018 15:03,Attempt missed. Timo Werner (Germany) right footed shot from the right side of the box misses to the left. Assisted by Joshua Kimmich with a through ball.
6/17/2018 15:07,"Corner, Germany. Conceded by Hugo Ayala."
6/17/2018 15:07,Attempt saved. Mats Hummels (Germany) left footed shot from outside the box is saved in the bottom left corner. Assisted by Thomas Müller.
6/17/2018 15:08,Carlos Vela (México) wins a free kick in the attacking half.
6/17/2018 15:08,Foul by Mats Hummels (Germany).
6/17/2018 15:09,Attempt missed. Miguel Layún (México) right footed shot from outside the box is too high from a direct free kick.
6/17/2018 15:10,Attempt saved. Héctor Herrera (México) right footed shot from outside the box is saved in the bottom left corner. Assisted by Hirving Lozano.
6/17/2018 15:13,Hand ball by Toni Kroos (Germany).
6/17/2018 15:14,Attempt saved. Héctor Moreno (México) header from the centre of the box is saved in the bottom left corner. Assisted by Miguel Layún with a cross.
6/17/2018 15:16,"Corner, Germany. Conceded by Carlos Salcedo."
6/17/2018 15:16,Attempt saved. Julian Draxler (Germany) right footed shot from outside the box is saved in the top right corner.
6/17/2018 15:16,Attempt blocked. Toni Kroos (Germany) right footed shot from outside the box is blocked. Assisted by Mesut Özil.
6/17/2018 15:18,Foul by Héctor Herrera (México).
6/17/2018 15:18,Jérôme Boateng (Germany) wins a free kick in the defensive half.
6/17/2018 15:19,Hand ball by Carlos Salcedo (México).
6/17/2018 15:20,Attempt saved. Timo Werner (Germany) left footed shot from the centre of the box is saved in the centre of the goal.
6/17/2018 15:20,Carlos Vela (México) wins a free kick in the defensive half.
6/17/2018 15:20,Foul by Mats Hummels (Germany).
6/17/2018 15:22,Attempt saved. Toni Kroos (Germany) left footed shot from outside the box is saved in the centre of the goal. Assisted by Julian Draxler.
6/17/2018 15:23,Attempt blocked. Chicharito (México) left footed shot from outside the box is blocked. Assisted by Hirving Lozano.
6/17/2018 15:23,Foul by Joshua Kimmich (Germany).
6/17/2018 15:23,Héctor Herrera (México) wins a free kick in the attacking half.
6/17/2018 15:24,Foul by Héctor Moreno (México).
6/17/2018 15:24,Sami Khedira (Germany) wins a free kick in the defensive half.
6/17/2018 15:25,Foul by Héctor Moreno (México).
6/17/2018 15:25,Timo Werner (Germany) wins a free kick on the right wing.
6/17/2018 15:26,Attempt missed. Miguel Layún (México) right footed shot from outside the box is high and wide to the right. Assisted by Hirving Lozano.
6/17/2018 15:29,Foul by Julian Draxler (Germany).
6/17/2018 15:29,Héctor Herrera (México) wins a free kick in the defensive half.
6/17/2018 15:29,Attempt saved. Miguel Layún (México) right footed shot from outside the box is saved in the centre of the goal. Assisted by Carlos Vela.
6/17/2018 15:30,Foul by Chicharito (México).
6/17/2018 15:30,Jérôme Boateng (Germany) wins a free kick in the attacking half.
6/17/2018 15:35,"Goal! Germany 0, México 1. Hirving Lozano (México) right footed shot from the centre of the box to the bottom left corner. Assisted by Chicharito following a fast break."
6/17/2018 15:37,Foul by Miguel Layún (México).
6/17/2018 15:37,Marvin Plattenhardt (Germany) wins a free kick on the left wing.
6/17/2018 15:37,Attempt blocked. Sami Khedira (Germany) right footed shot from the centre of the box is blocked. Assisted by Mesut Özil.
6/17/2018 15:37,Foul by Hirving Lozano (México).
6/17/2018 15:37,Joshua Kimmich (Germany) wins a free kick in the attacking half.
6/17/2018 15:39,Attempt saved. Toni Kroos (Germany) right footed shot from outside the box is saved in the top right corner.
6/17/2018 15:39,Foul by Jérôme Boateng (Germany).
6/17/2018 15:39,Hirving Lozano (México) wins a free kick in the defensive half.
6/17/2018 15:40,Héctor Moreno (México) is shown the yellow card.
6/17/2018 15:45,"Attempt missed. Carlos Vela (México) left footed shot from outside the box is close, but misses to the left. Assisted by Andrés Guardado."
6/17/2018 15:45,"First Half ends, Germany 0, México 1."
6/17/2018 16:01,"Second Half begins Germany 0, México 1."
6/17/2018 16:04,Attempt saved. Marvin Plattenhardt (Germany) left footed shot from outside the box is saved in the bottom left corner. Assisted by Toni Kroos with a headed pass.
6/17/2018 16:04,Hand ball by Jesús Gallardo (México).
6/17/2018 16:07,Chicharito (México) wins a free kick in the defensive half.
6/17/2018 16:07,Foul by Jérôme Boateng (Germany).
6/17/2018 16:09,Attempt missed. Joshua Kimmich (Germany) left footed shot from outside the box is too high. Assisted by Sami Khedira.
6/17/2018 16:11,Attempt blocked. Julian Draxler (Germany) right footed shot from the left side of the box is blocked. Assisted by Mesut Özil.
6/17/2018 16:11,"Corner, Germany. Conceded by Carlos Salcedo."
6/17/2018 16:11,Attempt blocked. Toni Kroos (Germany) right footed shot from outside the box is blocked. Assisted by Julian Draxler.
6/17/2018 16:12,Foul by Hirving Lozano (México).
6/17/2018 16:12,Joshua Kimmich (Germany) wins a free kick on the right wing.
6/17/2018 16:13,Attempt missed. Andrés Guardado (México) left footed shot from the left side of the box is too high. Assisted by Carlos Vela.
6/17/2018 16:14,"Offside, Germany. Mesut Özil tries a through ball, but Thomas Müller is caught offside."
6/17/2018 16:14,"Substitution, México. Edson Álvarez replaces Carlos Vela."
6/17/2018 16:16,"Substitution, Germany. Marco Reus replaces Sami Khedira."
6/17/2018 16:17,Attempt blocked. Julian Draxler (Germany) right footed shot from outside the box is blocked. Assisted by Thomas Müller.
6/17/2018 16:18,Foul by Héctor Herrera (México).
6/17/2018 16:18,Mesut Özil (Germany) wins a free kick in the defensive half.
6/17/2018 16:21,Attempt missed. Joshua Kimmich (Germany) right footed shot from the centre of the box is just a bit too high. Assisted by Jérôme Boateng with a cross.
6/17/2018 16:22,"Substitution, México. Raúl Jiménez replaces Hirving Lozano."
6/17/2018 16:23,Attempt blocked. Julian Draxler (Germany) right footed shot from the centre of the box is blocked. Assisted by Thomas Müller with a cross.
6/17/2018 16:23,"Corner, Germany. Conceded by Edson Álvarez."
6/17/2018 16:24,Attempt missed. Timo Werner (Germany) right footed shot from the centre of the box is too high following a corner.
6/17/2018 16:24,"Corner, Germany. Conceded by Guillermo Ochoa."
